MTU (CET/CEST),Day-ahead Price (SEK/kWh)
14/8/24 12:00:00,0.1983456
14/8/24 13:00:00,0.1926656
14/8/24 14:00:00,0.1905072
14/8/24 15:00:00,0.1911888
14/8/24 16:00:00,0.19312
14/8/24 17:00:00,0.2153856
14/8/24 18:00:00,0.2378784
14/8/24 19:00:00,0.2258368
14/8/24 20:00:00,0.2041392
14/8/24 21:00:00,0.1928928
14/8/24 22:00:00,0.212432
14/8/24 23:00:00,0.172104
